0,1
指　标,同比增长（%）
固定资产投资（不含农户）,3.7
其中：国有控股,5.9
其中：民间投资,0.0
按构成分,
建筑安装工程,1.2
设备工器具购置,17.3
其他费用,2.4
分产业,
第一产业,8.4
第二产业,11.4
第三产业,-0.4
分行业,
农林牧渔业,9.1
采矿业,5.8
制造业,8.5
其中：农副食品加工业,17.7
食品制造业,16.1
纺织业,15.1
化学原料和化学制品制造业,0.4
医药制造业,0.9
有色金属冶炼和压延加工业,14.3
金属制品业,11.0
通用设备制造业,17.5
专用设备制造业,7.9
汽车制造业,23.4
铁路、船舶、航空航天和其他运输设备制造业,26.1
电气机械和器材制造业,-8.6
计算机、通信和其他电子设备制造业,7.0
电力、热力、燃气及水生产和供应业,25.4
交通运输、仓储和邮政业,4.0
其中：铁路运输业,2.3
道路运输业,-0.4
水利、环境和公共设施管理业,7.2
其中：水利管理业,26.6
公共设施管理业,3.8
教育,-2.6
卫生和社会工作,-2.8
文化、体育和娱乐业,5.0
分登记注册类型,
其中：内资企业,3.7
港澳台投资企业,6.5
外商投资企业,-13.4
注：此表中速度均未扣除价格因素。,注：此表中速度均未扣除价格因素。
