0,1,2,3,4
地　区,新建商品房销售面积,新建商品房销售面积,新建商品房销售额,新建商品房销售额
地　区,绝对数 （万平方米）,同比增长 （%）,绝对数 （亿元）,同比增长 （%）
全国总计,10746,-5.1,10259,-2.6
东部地区,4539,-7.3,6038,-2.1
中部地区,2795,-0.7,1886,-2.3
西部地区,3115,-5.9,2134,-4.0
东北地区,297,-3.0,200,-4.9
注：表中部分数据因四舍五入，存在总计与分地区合计不等的情况。,注：表中部分数据因四舍五入，存在总计与分地区合计不等的情况。,注：表中部分数据因四舍五入，存在总计与分地区合计不等的情况。,注：表中部分数据因四舍五入，存在总计与分地区合计不等的情况。,注：表中部分数据因四舍五入，存在总计与分地区合计不等的情况。
