0,1,2,3,4
地　区,投资额,,同比增长,
地　区,（亿元）,住　宅,（%）,住　宅
全国总计,10720,8056,-9.8,-9.2
东部地区,6949,5069,-11.4,-10.9
中部地区,1925,1555,-8.7,-9.1
西部地区,1749,1358,-3.3,-1.4
东北地区,96,74,-21.4,-20.4
注：表中部分数据因四舍五入，存在总计与分地区合计不等的情况。,注：表中部分数据因四舍五入，存在总计与分地区合计不等的情况。,注：表中部分数据因四舍五入，存在总计与分地区合计不等的情况。,注：表中部分数据因四舍五入，存在总计与分地区合计不等的情况。,注：表中部分数据因四舍五入，存在总计与分地区合计不等的情况。
