0,1,2,3,4,5,6,7,8,9
城市,90m2及以下,90m2及以下,90m2及以下,90-144m2,90-144m2,90-144m2,144m2以上,144m2以上,144m2以上
城市,环比,同比,1-2月 平均,环比,同比,1-2月 平均,环比,同比,1-2月 平均
城市,上月 =100,上年同月 =100,上年同期 =100,上月 =100,上年同月 =100,上年同期 =100,上月 =100,上年同月 =100,上年同期 =100
北 京,99.9,93.5,93.5,100.1,94.9,94.8,100.2,94.9,94.8
天 津,99.9,96.2,96.5,99.8,97.6,97.9,99.5,97.2,97.6
石 家 庄,99.8,95.8,96.2,99.7,96.5,96.7,99.6,95.1,95.2
太 原,100.0,101.8,101.7,100.1,101.0,100.9,100.1,101.2,101.2
呼和浩特,99.4,95.0,95.2,99.4,93.8,93.9,99.3,93.7,93.9
沈 阳,100.8,96.5,95.9,100.1,97.5,97.2,100.0,97.2,96.6
大 连,100.5,96.8,96.3,100.1,94.5,94.0,100.4,93.8,93.7
长 春,99.4,96.2,96.1,99.6,95.4,95.5,99.3,96.1,96.0
哈 尔 滨,100.1,93.3,93.2,100.5,95.1,94.5,100.0,94.2,94.1
上 海,100.3,105.5,105.7,100.4,104.7,104.6,100.0,106.7,106.8
南 京,100.4,96.5,95.9,100.6,96.5,95.8,100.3,97.1,96.1
杭 州,100.0,98.4,98.2,99.9,98.8,98.8,99.9,98.6,98.5
宁 波,100.0,95.1,94.9,100.4,93.9,93.5,100.2,91.5,91.3
合 肥,100.3,93.3,93.0,100.1,94.9,94.7,100.9,94.8,94.3
福 州,99.8,93.1,92.7,99.9,93.0,92.8,100.0,92.1,91.6
厦 门,100.2,93.2,92.5,100.3,93.5,93.2,100.1,92.0,91.5
南 昌,100.2,95.1,94.7,100.3,95.0,94.6,100.3,95.3,95.0
济 南,100.3,91.5,91.4,100.3,94.4,94.2,100.1,95.2,94.7
青 岛,100.0,95.1,95.0,100.0,94.5,94.4,100.1,96.8,96.3
郑 州,99.9,93.3,92.9,99.4,94.4,94.5,99.7,96.7,96.7
武 汉,99.6,93.3,93.4,99.7,93.3,93.1,99.8,93.8,93.6
长 沙,99.6,92.6,92.5,99.9,94.0,93.9,99.5,92.6,92.6
广 州,99.8,91.9,91.8,99.9,91.8,91.5,99.7,94.5,93.9
深 圳,100.4,95.7,95.2,100.2,95.7,95.3,100.8,95.4,95.0
南 宁,100.0,94.3,94.0,100.2,93.5,93.1,99.8,94.5,94.2
海 口,100.1,96.9,96.7,100.0,96.1,95.9,99.8,96.3,96.2
重 庆,99.6,94.7,94.9,99.9,94.7,94.8,99.8,94.4,94.4
成 都,100.2,97.2,96.9,100.1,97.3,97.2,100.6,96.6,96.2
贵 阳,99.6,94.6,94.3,100.0,95.3,95.2,100.0,96.0,95.9
昆 明,99.9,91.8,92.0,99.9,91.6,91.7,100.0,91.7,91.8
西 安,99.3,98.2,98.7,99.5,98.3,98.7,99.6,98.1,98.5
兰 州,99.0,93.2,93.4,99.9,92.9,92.6,99.9,91.4,91.5
西 宁,100.0,94.8,94.8,99.9,94.7,94.7,99.8,94.2,94.2
银 川,100.0,97.9,97.5,99.4,95.5,95.5,99.1,94.6,94.8
乌鲁木齐,100.1,95.8,95.7,99.8,97.2,97.2,99.9,96.0,96.2
