0,1,2,3
,规模以上工业增加值 环比增速（%）,固定资产投资 （不含农户） 环比增速（%）,社会消费品零售总额 环比增速（%）
2024年3月份,-0.05,0.03,0.48
4月份,1.21,0.46,-0.09
5月份,0.25,0.05,0.60
6月份,0.73,0.52,0.11
7月份,0.40,0.10,0.56
8月份,0.39,0.42,0.46
9月份,0.86,0.52,0.73
10月份,0.52,0.24,0.59
11月份,0.58,0.46,0.49
12月份,0.64,0.41,0.48
2025年1月份,0.19,0.61,0.57
2月份,0.51,0.55,0.62
3月份,0.44,0.15,0.58
