产品名称,单位,本期价格（元）,比上期 价格涨跌（元）,涨跌幅(%)
一、黑色金属,,,,
螺纹钢（Φ20mm，HRB400E）,吨,3370.7,3.2,0.1
线材（Φ8—10mm，HPB300）,吨,3536.7,-1.9,-0.1
普通中板（20mm，Q235）,吨,3494.8,-15.1,-0.4
热轧普通板卷（4.75—11.5mm，Q235）,吨,3453.0,-11.1,-0.3
无缝钢管（219*6，20#）,吨,4272.8,-1.6,0.0
角钢（5#）,吨,3590.0,4.3,0.1
二、有色金属,,,,
电解铜（1#）,吨,76323.8,1083.8,1.4
铝锭（A00）,吨,20300.0,96.0,0.5
铅锭（1#）,吨,16918.8,268.8,1.6
锌锭（0#）,吨,23657.5,-276.5,-1.2
三、化工产品,,,,
硫酸（98%）,吨,442.7,-11.3,-2.5
烧碱（液碱，32%）,吨,1046.8,25.7,2.5
甲醇（优等品）,吨,2378.0,-30.2,-1.3
纯苯（石油苯，工业级）,吨,7732.3,147.8,1.9
苯乙烯（一级品）,吨,8632.3,148.4,1.7
聚乙烯（LLDPE，熔融指数2薄膜料）,吨,8293.0,-72.6,-0.9
聚丙烯（拉丝料）,吨,7367.3,-6.0,-0.1
聚氯乙烯（SG5）,吨,5086.7,-18.7,-0.4
顺丁胶（BR9000）,吨,14656.7,73.4,0.5
涤纶长丝（POY150D/48F）,吨,7265.0,15.0,0.2
四、石油天然气,,,,
液化天然气（LNG）,吨,4130.0,30.5,0.7
液化石油气（LPG）,吨,4913.6,43.7,0.9
汽油（95#国VI）,吨,9402.0,10.9,0.1
汽油（92#国VI）,吨,9108.3,1.8,0.0
柴油（0#国VI）,吨,7399.2,-38.1,-0.5
石蜡（58#半）,吨,8307.5,90.5,1.1
五、煤炭,,,,
无烟煤（洗中块）,吨,995.0,0.0,0.0
普通混煤（4500大卡）,吨,583.0,0.0,0.0
山西大混（5000大卡）,吨,670.0,0.0,0.0
山西优混（5500大卡）,吨,764.5,-0.5,-0.1
大同混煤（5800大卡）,吨,807.3,-0.7,-0.1
焦煤（主焦煤）,吨,1380.0,-20.0,-1.4
焦炭（准一级冶金焦）,吨,1458.7,-10.0,-0.7
六、非金属建材,,,,
普通硅酸盐水泥（P.O 42.5袋装）,吨,390.7,-6.4,-1.6
普通硅酸盐水泥（P.O 42.5散装）,吨,340.5,-2.9,-0.8
浮法平板玻璃（4.8/5mm）,吨,1403.8,5.8,0.4
七、农产品（主要用于加工）,,,,
稻米（粳稻米）,吨,3872.6,1.6,0.0
小麦（国标三等）,吨,2358.7,0.4,0.0
玉米（黄玉米二等）,吨,2050.8,9.9,0.5
棉花（皮棉，白棉三级）,吨,14131.4,-37.8,-0.3
生猪（外三元）,千克,15.0,-0.6,-3.8
大豆（黄豆）,吨,3959.8,39.4,1.0
豆粕（粗蛋白含量≥43%）,吨,3494.8,282.1,8.8
花生（油料花生米）,吨,7516.7,16.7,0.2
八、农业生产资料,,,,
尿素（中小颗粒）,吨,1695.0,-7.5,-0.4
复合肥（硫酸钾复合肥，氮磷钾含量45%）,吨,2958.9,0.0,0.0
农药（草甘膦，95%原药）,吨,23750.0,0.0,0.0
九、林产品,,,,
天然橡胶（标准胶SCRWF）,吨,16605.0,-42.2,-0.3
纸浆（进口针叶浆）,吨,6604.4,90.8,1.4
瓦楞纸（AA级120g）,吨,2915.6,1.8,0.1
注：上期为2025年1月下旬。,注：上期为2025年1月下旬。,注：上期为2025年1月下旬。,注：上期为2025年1月下旬。,注：上期为2025年1月下旬。
