0
联合国系统
联合国主页
联合国经济及社会理事会（经社会，ECOSOC）
联合国经济和社会事务部（经社部，DESA）
联合国统计司（统计司，UNSD）
联合国基金和方案
联合国贸易和发展会议（贸发会议，UNCTAD）
世界贸易组织（世贸组织，WTO）
联合国开发计划署（开发署，UNDP）
联合国环境规划署（环境署，UNEP）
联合国人口基金（人口基金，UNFPA）
联合国人类居住区规划署（人居署，UN-HABITAT）
联合国难民事务高级专员办事处（难民署，UNHCR）
联合国儿童基金（儿童基金，UNICEF）
联合国禁毒和犯罪问题办公室（禁毒办，UNODC）
联合国促进性别平等和增强妇女权能署（妇女署，UN-Women）
世界粮食计划署（粮食署，WFP）
联合国区域委员会
非洲经济委员会（非洲经委会，ECA）
欧洲经济委员会（欧洲经委会，ECE）
拉丁美洲和加勒比经济委员会（拉加经委会，ECLAC）
亚洲及太平洋经济社会委员会（亚太经社会，ESCAP）
西亚经济社会委员会（西亚经社会，ESCWA）
联合国专门机构
联合国粮食及农业组织（粮农组织，FAO）
国际民用航空组织（国际民航组织，ICAO）
国际农业发展基金（农发基金，IFAD）
国际劳工组织（劳工组织，ILO）
国际货币基金组织（基金组织，IMF）
l　主要全球指标（PGI）
国际海事组织（海事组织，IMO）
国际电信联盟（国际电联，ITU）
联合国教育、科学及文化组织（教科文组织，UNESCO）
联合国工业发展组织（工发组织，UNIDO）
世界旅游组织（世旅组织，UNWTO）
万国邮政联盟（万国邮联，UPU）
世界卫生组织（世卫组织，WHO）
世界知识产权组织（知识产权组织，WIPO）
世界气象组织（气象组织，WMO）
国际复兴开发银行（世界银行，IBRD）
其他国际组织
经济合作与发展组织（经合组织，OECD）
欧洲联盟（欧盟，EU）
l　欧洲统计局（欧洲统计局，EUROSTAT）
石油输出国组织（欧佩克，OPEC）
亚洲开发银行（亚行，ADB）
非洲开发银行（非行，AFDB）
国际清算银行（清算银行，BIS）
欧洲中央银行（欧洲央行，ECB）
来源：联合国统计司网站
