产品名称,单位,本期价格（元）,比上期 价格涨跌（元）,涨跌幅(%)
一、黑色金属,,,,
螺纹钢（Φ20mm，HRB400E）,吨,3239.7,-1.4,0.0
线材（Φ8—10mm，HPB300）,吨,3407.9,-2.9,-0.1
普通中板（20mm，Q235）,吨,3519.3,43.8,1.3
热轧普通板卷（4.75—11.5mm，Q235）,吨,3396.3,8.8,0.3
无缝钢管（219*6，20#）,吨,4232.8,12.2,0.3
角钢（5#）,吨,3599.6,-4.8,-0.1
二、有色金属,,,,
电解铜（1#）,吨,81291.4,1455.1,1.8
铝锭（A00）,吨,20675.7,-121.8,-0.6
铅锭（1#）,吨,17250.0,-34.4,-0.2
锌锭（0#）,吨,23927.1,-42.9,-0.2
三、化工产品,,,,
硫酸（98%）,吨,669.1,24.8,3.8
烧碱（液碱，32%）,吨,954.0,-61.1,-6.0
甲醇（优等品）,吨,2484.0,11.3,0.5
纯苯（石油苯，工业级）,吨,6709.1,-157.4,-2.3
苯乙烯（一级品）,吨,8052.6,-112.0,-1.4
聚乙烯（LLDPE，熔融指数2薄膜料）,吨,8070.0,-143.5,-1.7
聚丙烯（拉丝料）,吨,7321.0,14.7,0.2
聚氯乙烯（SG5）,吨,5008.4,42.0,0.8
顺丁胶（BR9000）,吨,13598.8,-7.5,-0.1
涤纶长丝（POY150D/48F）,吨,6903.6,-108.9,-1.6
四、石油天然气,,,,
液化天然气（LNG）,吨,4458.8,26.8,0.6
液化石油气（LPG）,吨,4898.7,34.9,0.7
汽油（95#国VI）,吨,8679.9,-67.6,-0.8
汽油（92#国VI）,吨,8406.9,-58.1,-0.7
柴油（0#国VI）,吨,7202.7,-8.4,-0.1
石蜡（58#半）,吨,8458.2,-49.3,-0.6
五、煤炭,,,,
无烟煤（洗中块）,吨,925.0,0.0,0.0
普通混煤（4500大卡）,吨,519.6,-4.4,-0.8
山西大混（5000大卡）,吨,594.6,-7.2,-1.2
山西优混（5500大卡）,吨,677.3,-12.5,-1.8
大同混煤（5800大卡）,吨,714.3,-13.0,-1.8
焦煤（主焦煤）,吨,1225.0,-13.1,-1.1
焦炭（准一级冶金焦）,吨,1268.7,-18.7,-1.5
六、非金属建材,,,,
普通硅酸盐水泥（P.O 42.5袋装）,吨,385.8,-3.1,-0.8
普通硅酸盐水泥（P.O 42.5散装）,吨,350.1,-2.0,-0.6
浮法平板玻璃（4.8/5mm）,吨,1308.3,-2.5,-0.2
七、农产品（主要用于加工）,,,,
稻米（粳稻米）,吨,3922.7,1.2,0.0
小麦（国标三等）,吨,2393.8,-7.0,-0.3
玉米（黄玉米二等）,吨,2189.7,-4.0,-0.2
棉花（皮棉，白棉三级）,吨,14329.7,50.3,0.4
生猪（外三元）,千克,14.7,-0.1,-0.7
大豆（黄豆）,吨,4133.6,-1.4,0.0
豆粕（粗蛋白含量≥43%）,吨,3170.2,-256.9,-7.5
花生（油料花生米）,吨,7586.9,-0.6,0.0
八、农业生产资料,,,,
尿素（中小颗粒）,吨,1923.8,81.0,4.4
复合肥（硫酸钾复合肥，氮磷钾含量45%）,吨,3168.0,18.3,0.6
农药（草甘膦，95%原药）,吨,23357.1,107.1,0.5
九、林产品,,,,
天然橡胶（标准胶SCRWF）,吨,16492.9,-10.2,-0.1
纸浆（进口针叶浆）,吨,6347.5,-83.3,-1.3
瓦楞纸（AA级120g）,吨,2606.3,-88.3,-3.3
注：上期为2025年3月中旬。,注：上期为2025年3月中旬。,注：上期为2025年3月中旬。,注：上期为2025年3月中旬。,注：上期为2025年3月中旬。
