0,1,2,3,4
地 区,投资额,,比上年增长,
地 区,（亿元）,住　宅,（%）,住　宅
全国总计,100280,76040,-10.6,-10.5
东部地区,60243,44229,-11.0,-10.8
中部地区,19563,16021,-9.4,-9.5
西部地区,18110,13922,-8.9,-9.1
东北地区,2365,1868,-21.8,-20.9
