0,1,2,3,4,5,6,7,8
单位：%,单位：%,单位：%,单位：%,单位：%,单位：%,单位：%,单位：%,单位：%
,新出口 订单,进口,采购量,主要原材料 购进价格,出厂 价格,产成品 库存,在手 订单,生产经营 活动预期
2024年2月,46.3,46.4,48.0,50.1,48.1,47.9,43.5,54.2
2024年3月,51.3,50.4,52.7,50.5,47.4,48.9,47.6,55.6
2024年4月,50.6,48.1,50.5,54.0,49.1,47.3,45.6,55.2
2024年5月,48.3,46.8,49.3,56.9,50.4,46.5,45.3,54.3
2024年6月,48.3,46.9,48.1,51.7,47.9,48.3,45.0,54.4
2024年7月,48.5,47.0,48.8,49.9,46.3,47.8,45.3,53.1
2024年8月,48.7,46.8,47.8,43.2,42.0,48.5,44.7,52.0
2024年9月,47.5,46.1,47.6,45.1,44.0,48.4,44.0,52.0
2024年10月,47.3,47.0,49.3,53.4,49.9,46.9,45.4,54.0
2024年11月,48.1,47.3,51.0,49.8,47.7,47.4,45.6,54.7
2024年12月,48.3,49.3,51.5,48.2,46.7,47.9,45.9,53.3
2025年1月,46.4,48.1,49.2,49.5,47.4,46.5,45.6,55.3
2025年2月,48.6,49.5,52.1,50.8,48.5,48.3,46.0,54.5
