0,1
指　标,同比增长（%）
固定资产投资（不含农户）,4.2
其中：国有控股,6.5
其中：民间投资,0.4
按构成分,
建筑安装工程,1.5
设备工器具购置,19.0
其他费用,2.4
分产业,
第一产业,16.0
第二产业,11.9
第三产业,0.1
分行业,
农林牧渔业,15.8
采矿业,5.6
制造业,9.1
其中：农副食品加工业,18.6
食品制造业,18.0
纺织业,13.5
化学原料和化学制品制造业,2.1
医药制造业,4.4
有色金属冶炼和压延加工业,17.9
金属制品业,12.2
通用设备制造业,17.2
专用设备制造业,8.1
汽车制造业,24.5
铁路、船舶、航空航天和其他运输设备制造业,37.9
电气机械和器材制造业,-7.4
计算机、通信和其他电子设备制造业,10.5
电力、热力、燃气及水生产和供应业,26.0
交通运输、仓储和邮政业,3.8
其中：铁路运输业,0.5
道路运输业,-0.2
水利、环境和公共设施管理业,9.8
其中：水利管理业,36.8
公共设施管理业,4.9
教育,2.3
卫生和社会工作,0.8
文化、体育和娱乐业,6.4
分注册类型,
其中：内资企业,4.0
港澳台投资企业,10.8
外商投资企业,-9.5
注：此表中速度均未扣除价格因素。,注：此表中速度均未扣除价格因素。
